#Table26: Line statistics of the evaluated, isolated lines in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1, 
#W_lambda_syn/milliAngstrom, W_lambda_obs/milliAngstrom, W_lambda_obs/W_lambda_syn
#
1202.03,Ni,V,0.12,247104.90,330297.60,37.26,40.08,1.08
1202.26,Ni,V,-0.44,263735.70,346912.40,23.09,21.96,0.95
1202.75,Co,VI,0.50,307627.00,390770.10,16.33,9.94,0.61
1209.29,Cr,IV,0.10,263971.00,181277.90,36.64,25.91,0.71
1210.17,Cr,IV,0.25,263875.90,181243.10,33.37,33.18,0.99
1210.95,Cr,IV,-0.57,241472.80,158892.70,27.99,24.60,0.88
1213.00,Cr,IV,0.10,240967.90,158527.70,27.60,21.36,0.77
1225.35,Cr,IV,-0.59,241472.80,159863.60,28.17,19.66,0.70
1231.10,Ni,V,-0.50,216189.90,297418.10,32.35,33.23,1.03
1244.79,Ni,V,-0.66,229408.80,309743.60,24.60,19.92,0.81
1245.62,Ni,IV,-0.53,144815.10,225096.40,30.26,31.74,1.05
1248.83,Ni,V,-0.25,247281.80,327356.60,31.37,20.68,0.66
1251.81,Ni,V,0.48,217048.70,296932.90,58.68,44.98,0.77
1254.76,Co,V,-1.15,235961.10,315657.50,10.20,31.74,3.11
1255.15,Cr,IV,0.36,257588.60,177916.50,41.38,50.88,1.23
1260.86,Ni,V,-1.18,232655.60,311966.50,14.83,34.61,2.33
1261.76,Ni,V,0.48,216189.90,295444.30,52.48,46.12,0.88
1263.86,Ni,IV,-0.65,145702.20,224824.90,27.50,32.40,1.18
1266.88,Ni,V,-0.05,212455.70,291390.00,43.69,34.98,0.80
1267.53,Co,V,-0.12,206962.20,285855.70,42.65,35.67,0.84
1268.87,Ni,V,0.30,274738.60,353548.70,33.15,25.45,0.77
1272.44,Mn,VI,0.07,251403.00,329992.00,34.99,48.51,1.39
1274.15,Fe,V,-0.31,390022.60,311538.70,19.04,18.89,0.99
1280.47,Fe,V,-0.56,209523.90,287620.20,40.37,66.56,1.65
